<DOC1>	至于耗油量较高，是和车的总体质量有关系的。</DOC1>
<DOC962>	十年后的今天，奇瑞和吉利奋发图强茁壮成长。</DOC962>
<DOC963>	总体来说325还是很帅的，操控绝对一流，再说牌子在那里放着，比开大众有自信。</DOC963>
<DOC964>	由子没有装备DSC，因此，在一些紧急状态下，就需要驾驶者有更熟练的技巧来避免一些免除情况。</DOC964>
<DOC965>	马自达62.0的动力在市区驾驶时够用了，起步时，油门响应灵敏，自动变速箱的延迟也很短。</DOC965>
<DOC966>	君威2.5豪华版14.58万;</DOC966>
<DOC967>	国内花冠是美规,或者叫台湾版.是固定车型!</DOC967>
<DOC968>	磨合期刚过,车匀速150公里。</DOC968>
<DOC969>	这样看不见那个间隙了，又不影响手刹自由上下。</DOC969>
<DOC970>	我最满意的是它的动力和音响和品质。</DOC970>
<DOC971>	使用还不到一千公里,百公里油耗在12--25升之间.多次与厂家进行交涉,至今未得到解决.</DOC971>
<DOC972>	提车时里程是17公里，出厂22天的车子。</DOC972>
<DOC973>	专供越野的一体化底盘，配合225/65R16的宽胎，也让它抓地力更强，驾驶更加舒适自如。</DOC973>
<DOC974>	买辆小车坐在里面还不安全的话。</DOC974>
<DOC975>	捷达：发动机特别好，底盘特别次!</DOC975>
<DOC976>	大7最差劲的就是机械动力系统，2.2T还不如蒙迪欧、赛威2.0T动力强。</DOC976>
<DOC977>	所以，红旗到底能打多久，耐人寻味。</DOC977>
<DOC978>	优利欧和吉利豪情的外观可以说是世界上最丑的了!</DOC978>
<DOC979>	希望有更多的奥迪柴油车型可以供消费者选种。</DOC979>
<DOC980>	设计时速为350公里的保时捷等国外跑车，其最佳性能表现应为时速150-250公里间。</DOC980>
<DOC981>	我是今年8月2号购的吉利豪情汽车，现在跑了5000多一点，主要是上班使用（市区）。</DOC981>
<DOC982>	捷达好像是出租车的代用语了!</DOC982>
<DOC983>	看你根据自已的情况选什么车了。</DOC983>
<DOC984>	所以，他也不愁卖，也不用降价。</DOC984>
<DOC985>	我问如果超期了怎么算，销售很肯定的说不可能。</DOC985>
<DOC986>	5开了一圈下来视野绝对比轿车要好，油门比较轻，至于减震由于开的一段路没有减速带这些坑坑洼洼的东西，所以没感受到。</DOC986>
<DOC987>	买新车时怎么挑选！？</DOC987>
<DOC988>	新车买后，我精心呵护，天天使她一尘不染。</DOC988>
<DOC989>	点火起动，几秒发动机转速就降到了怠速水平，比小羊快多了——小羊要三分钟以上才行，所以绝对是需要热热车的。</DOC989>
<DOC990>	什么是质量好，韩国的美女就可以说是质量好！</DOC990>
<DOC991>	其实旧款的捷达真的比新的款的好看，尾部也是我最不认同的。</DOC991>
<DOC992>	内饰———时尚设计、简单工艺坐进车内，一眼看过去幸福使者的内部设计水平还是比较领先的。</DOC992>
<DOC993>	君威就算了破车一个老了操控又差。</DOC993>
<DOC994>	夏历车还是不错的，就是给修坏啦！！</DOC994>
<DOC995>	油箱是会响的，---网上有人反映。</DOC995>
<DOC996>	QQ的发动机比羚羊差多了，1-2年后就磨完了，加工精度和耐磨都不行。</DOC996>
<DOC997>	特别是红旗前鬼脸的设计最没有水平。</DOC997>
<DOC998>	直到4月21日，销售答复我，店面有实车了。</DOC998>
<DOC999>	你不想去还不行，因为配件奇难买。</DOC999>
<DOC1000>	我可从我的亲身经历给您一个参考。</DOC1000>
